"","Species","raw_005nm_more15"
"1","Alnus sp.",0.318181818181818
"2","Arctostaphyllos",0.526315789473684
"3","Asahinea chrysantha",0.368421052631579
"4","Betula nana",0.410714285714286
"5","Carex sp.",0.375
"6","Cladonia gracilis",0.277777777777778
"7","Cladonia mitis",0.647058823529412
"8","Cladonia rangiferina",0.55
"9","Cladonia steallaris",0.4
"10","Cladonia stygia",0.5
"11","Dryas alleghenies",0.143382352941177
"12","Dryas octopetala",0.0522875816993464
"13","Dryas sp.",0.325581395348837
"14","Evernia mesomorpha",0.3
"15","Flavocetraria nivalis",0.315789473684211
"16","Ledum decumbens",0.894736842105263
"17","Nephroma arcticum",0.333333333333333
"18","Picea mariana",0.0588235294117647
"19","Pilophorus acicularis",0.0666666666666667
"20","Rhizocarpon geographicum",0.0555555555555556
"21","Rosa acicularis",0
"22","Salix alaxensis",0.127659574468085
"23","Salix glauca",0.375
"24","Umbilicaria hyperborea",0
"25","Vaccinium vitis-idea",0.619047619047619
